App Name,Package Name,App MD5,Category,Red Packet Num,App Market
Meituan,com.sankuai.meituan,5f1636105441fa87bfd13ec6de21699c,comprehensive services,1,Anzhi
美团外卖,com.sankuai.meituan.takeoutnew,59af8720f3c8b639197bfc25e4c4c890,comprehensive services,1,Anzhi
抖音极速版,com.ss.android.ugc.aweme.lite,8484fd9686731db1081e07fc937a3514,video,1,Anzhi
喵街,com.taobao.shoppingstreets,532f12466409cc6a9ec55be8251713ea,shopping payment,1,Anzhi
淘宝,com.taobao.taobao,56a128fe4aae083791d171d3f8c2b988,shopping payment,4,Anzhi
惠街,com.taoyouhui.tyh,2e565d56852f1ecc6f9403e091b0104c,shopping payment,1,Anzhi
折疯了海淘,com.vanwell.module.zhefengle.app,c1523f688714517ed4596fa8d12dee34,shopping payment,1,Anzhi
海淘免税店,com.vanwell.module.zhefenglepink.app,318a65ad83f47d5b3a4e70cab8323b64,shopping payment,1,Anzhi
网购联盟,com.wglianmeng,1aad9d8ba93c47064639c75e38c4f025,shopping payment,1,Anzhi
盲盒星球,com.willapps.manghe,5102f90b1080943f0c3d4544c180a2bc,shopping payment,1,Anzhi
防刷刷,com.xuanyouwang.commentanalyzer,81accb14376e4f0f7598302ac535728b,shopping payment,1,Anzhi
拼多多,com.xunmeng.pinduoduo,8ac4a1782117c6ccd04301c9fe9a4b6c,shopping payment,3,Anzhi
赚钱了,com.youchen.mh,f5ef047265c30508d12c0529b8015018,comprehensive services,1,Anzhi
万年历,com.youloft.calendar,7ab71af6ff1d8b281c654fac86a1a857,system tools,4,Anzhi
悦动圈,com.yuedong.sport,ec699dbb111d1c63e6e1d5fa24a1eb1a,sports and fitness,2,Anzhi
折上折,com.zheszhe,496ab16f31b2a4cbeea170b31f70ecd0,shopping payment,1,Anzhi
看看视频,com.zhnovel.kkfilms,5cf83d40659998b1f581b8011333f09f,video,1,Anzhi
走路赚钱,com.zouluzq.app,44709f524dc0dc4f28383d8d7deb842f,sports and fitness,3,Anzhi
皮皮蟹,sg.bigo.shrimp,b7f56aecec9aa838fd41e6477ade615d,social networking,1,Anzhi
百度,com.baidu.searchbox,c74ee002b83dfd593aceeff50e9b3b3a,browser,2,Google
支付宝,com.eg.android.AlipayGphone,19dd1cffb3c7472161bdf1f4067d452c,financial investment,3,Google
京东,com.jingdong.app.mall,74c564b14a2413b16e5ad6661afa0825,shopping payment,2,Google
淘特,com.taobao.litetao,e6b9b32e50a2280647f372589d6d2774,shopping payment,5,Google
淘宝,com.taobao.taobao,ccd3fb6c917f9228f8906832e22f62e6,shopping payment,2,Google
拼多多,com.xunmeng.pinduoduo,1ce32604a6ff7f5711d66a50dade5b51,shopping payment,3,Google
小说大全,dmw.xsdq.app,8533eb3c1e72955304dd992c92da533f,reading,1,Google
,,,,,
Total,,144 (149),,297 (308),
